OPERATOR_HASH,OPERATOR_TYPE,QUERY_HASH,LEFT_INPUT_OPERATOR_HASH,RIGHT_INPUT_OPERATOR_HASH,JOIN_MODE,LEFT_TABLE_NAME,LEFT_COLUMN_NAME,LEFT_TABLE_CHUNK_COUNT,LEFT_TABLE_ROW_COUNT,LEFT_COLUMN_TYPE,RIGHT_TABLE_NAME,RIGHT_COLUMN_NAME,RIGHT_TABLE_CHUNK_COUNT,RIGHT_TABLE_ROW_COUNT,RIGHT_COLUMN_TYPE,OUTPUT_CHUNK_COUNT,OUTPUT_ROW_COUNT,PREDICATE_COUNT,PRIMARY_PREDICATE,IS_FLIPPED,RADIX_BITS,BUILD_SIDE_MATERIALIZING_NS,PROBE_SIDE_MATERIALIZING_NS,CLUSTERING_NS,BUILDING_NS,PROBING_NS,OUTPUT_WRITING_NS,RUNTIME_NS,DESCRIPTION,INPUT_SEQUENTIAL_FACTOR,TABLE_NAME_RIGHT,COLUMN_COUNT_RIGHT,ROW_COUNT_RIGHT,CHUNK_COUNT_RIGHT,TARGET_CHUNK_SIZE_RIGHT,COLUMN_NAME_RIGHT,DATA_TYPE_RIGHT,NULLABLE_RIGHT,COLUMN_ID_RIGHT,COLUMN_DATA_TYPE_RIGHT,DISTINCT_VALUE_COUNT_RIGHT,ENCODING_TYPE_RIGHT,VECTOR_COMPRESSION_TYPE_RIGHT,SIZE_IN_BYTES_RIGHT,POINT_ACCESSES_RIGHT,SEQUENTIAL_ACCESSES_RIGHT,MONOTONIC_ACCESSES_RIGHT,RANDOM_ACCESSES_RIGHT,TABLE_NAME,COLUMN_COUNT,ROW_COUNT,CHUNK_COUNT,TARGET_CHUNK_SIZE,COLUMN_NAME,DATA_TYPE,NULLABLE,COLUMN_ID,COLUMN_DATA_TYPE,DISTINCT_VALUE_COUNT,ENCODING_TYPE,VECTOR_COMPRESSION_TYPE,SIZE_IN_BYTES,POINT_ACCESSES,SEQUENTIAL_ACCESSES,MONOTONIC_ACCESSES,RANDOM_ACCESSES,COLUMN_TYPE,GROUP_BY_COLUMN_COUNT,AGGREGATE_COLUMN_COUNT,INPUT_CHUNK_COUNT,INPUT_ROW_COUNT,GROUP_BY_KEY_PARTITIONING_NS,AGGREGATING_NS,GROUP_BY_COLUMNS_WRITING_NS,AGGREGATE_COLUMNS_WRITING_NS,PREDICATE_CONDITION,SCANS_SKIPPED,SCANS_SORTED,PRUNED_CHUNK_COUNT,PRUNED_COLUMN_COUNT
0x7f1c13b5467017abc5b973792f4c,TABLE_SCAN,39393c66798f2512,0x7f1beec01990a5e1504b8c40c707,,,,,,,,,,,,,1,10364,,,,,,,,,,,37601534,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c1447a6d0)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,296234,,,,,Unknown,0,0,,
0x7f1c13b75c90730228ef21f0a1f1,TABLE_SCAN,d71363259589f897,0x7f1bf03ed0d06ba678f499accb7c,,,,,,,,,,,,,1,8951,,,,,,,,,,,41945207,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c1381f690)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,304422,,,,,Unknown,0,0,,
0x7f1c13a40890598a761a48e69f29,TABLE_SCAN,8a77cf7930333e59,0x7f1beb4b5f90dfe9090eab28e45b,,,,,,,,,,,,,1,9322,,,,,,,,,,,37722469,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1bbf7b9650)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,301731,,,,,Unknown,0,0,,
0x7f1c13b6f6305ad92fb04de3d170,TABLE_SCAN,ffb583cf5c4a8c88,0x7f1beec02750dfe9090eab28e45b,,,,,,,,,,,,,1,9322,,,,,,,,,,,37887867,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c1447b210)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,301731,,,,,Unknown,0,0,,
0x7f1be3357430492ae6f8803fa52b,TABLE_SCAN,ae4432957acf2c7f,0x7f1be2e94a10e8c15ae605ba34b7,,,,,,,,,,,,,1,9789,,,,,,,,,,,37445179,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c13821790)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,299547,,,,,Unknown,0,0,,
0x7f1c13b727305a327547fbeb58b7,TABLE_SCAN,fac84a2671287d74,0x7f1bf03eec50a32ba13d12b437d9,,,,,,,,,,,,,1,9522,,,,,,,,,,,37691253,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c13820b90)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,300330,,,,,Unknown,0,0,,
0x7f1c13b53170d6a8ad49ebb8b696,TABLE_SCAN,8e8ee5db2e34fb68,0x7f1bf03ea790a048eb6da1bff09,,,,,,,,,,,,,1,8991,,,,,,,,,,,38034285,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c1381c710)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,303531,,,,,Unknown,0,0,,
0x7f1a20050610d8ab9ef0ed84ba79,TABLE_SCAN,edf2273513d1086d,0x7f1beb4b365064641436fa601a66,,,,,,,,,,,,,1,9650,,,,,,,,,,,38380976,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1bbf7a5590)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,300893,,,,,Unknown,0,0,,
0x7f1c13b718508c2413edd30c7171,TABLE_SCAN,9b4aaf57140ccafc,0x7f1beec7a090dfe9090eab28e45b,,,,,,,,,,,,,1,9322,,,,,,,,,,,38222426,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c1447cf50)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,301731,,,,,Unknown,0,0,,
0x7f1c13b505b0abbce65eb4dd5f29,TABLE_SCAN,fc04a2bb1492bbea,0x7f1beec00bd078ed52720964b6cb,,,,,,,,,,,,,1,9241,,,,,,,,,,,37719463,"TableScan Impl: ColumnVsValue SUM(ps_supplycost * ps_availqty) > SUBQUERY (PQP, 0x7f1c14307d10)",1,,,,,,,,,,,,,,,,,,,partsupp,5,8000000,123,65535,ps_availqty,int,0,2,int,9976,,,262324,62525,196605,261906,0,REFERENCE,,,1,301833,,,,,Unknown,0,0,,
